name,price,comnum,link
 Python地理数据处理 9787115456663 [美]Chris Garrard 加勒德 人民邮电出版社,79.0,0,http://product.dangdang.com/1376079216.html
 Python与量化投资：从基础到实战 9787121338571 王小川等 电子工业出版社,99.0,0,http://product.dangdang.com/1375817716.html
" Python编程之美：实践指南 9787121347573 (美)Kenneth Reitz(肯尼思·赖茨),Tany",89.0,0,http://product.dangdang.com/1375803616.html
 Python高级编程 第2版 9787115460158 [波兰]Micha Jaworski 贾沃斯基 [法]Tar,89.0,0,http://product.dangdang.com/1375811816.html
 Python高效开发实战——Django、Tornado、Flask、Twisted 9787121300103 刘长,89.0,0,http://product.dangdang.com/1375784616.html
 Python新手使用Django架站的16堂课 9787302467410 何敏煌 清华大学出版社,89.0,0,http://product.dangdang.com/1375786916.html
 Python Linux系统管理与自动化运维 9787111578659 赖明星 机械工业出版社,89.0,0,http://product.dangdang.com/1375790216.html
 Python数据分析与数据化运营 9787111584605 宋天龙 机械工业出版社,99.0,0,http://product.dangdang.com/1375663416.html
 Python物理学高效计算 9787115470782 [美]安东尼·斯科普斯(Anthony Scopatz) 凯瑟,99.0,0,http://product.dangdang.com/1375604916.html
 Python 3 面向对象编程(第2版) 9787121341366 (加)Dusty Phillips(达斯帝·菲利,99.0,0,http://product.dangdang.com/1375597716.html
 Python数据处理 9787115459190 [美] 杰奎琳·凯泽尔(Jacqueline Kazil)凯瑟琳贾缪,99.0,0,http://product.dangdang.com/1375570816.html
 Python+Spark 2 0+Hadoop机器学习与大数据实战 9787302490739 林大贵 清华大学出版社,99.0,0,http://product.dangdang.com/1375573116.html
 Python基础教程(第3版) 9787115474889 [挪]芒努斯·利·海特兰德(Magnus Lie Hetl,99.0,0,http://product.dangdang.com/1375558916.html
 Python 3网络爬虫开发实战 9787115480347 崔庆才 人民邮电出版社,99.0,0,http://product.dangdang.com/1375559216.html
 Python核心编程 第3版 9787115414779 [美]卫斯理 春(Wesley Chun) 人民邮电出版社,99.0,0,http://product.dangdang.com/1375558216.html
 Python Web开发实战 9787121297335 董伟明 电子工业出版社,105.0,0,http://product.dangdang.com/1375456016.html
 Python自然语言处理 9787115333681 Steven Bird 人民邮电出版社,89.0,0,http://product.dangdang.com/1375398616.html
